m,n,l,r,q,easiness_alpha,easiness_beta,iternum,method,error
63.0,63.0,1.0,1.0,0.3,50.0,1e-06,0.0,kos,1.0
250.0,250.0,1.0,1.0,0.3,50.0,1e-06,0.0,kos,1.0
1000.0,1000.0,1.0,1.0,0.3,50.0,1e-06,0.0,kos,1.0
4000.0,4000.0,1.0,1.0,0.3,50.0,1e-06,0.0,kos,1.0
63.0,63.0,3.0,3.0,0.3,50.0,1e-06,0.0,kos,0.4126984126984127
250.0,250.0,3.0,3.0,0.3,50.0,1e-06,0.0,kos,0.424
1000.0,1000.0,3.0,3.0,0.3,50.0,1e-06,0.0,kos,0.42
4000.0,4000.0,3.0,3.0,0.3,50.0,1e-06,0.0,kos,0.42475
63.0,63.0,5.0,5.0,0.3,50.0,1e-06,0.0,kos,0.31746031746031744
250.0,250.0,5.0,5.0,0.3,50.0,1e-06,0.0,kos,0.34
1000.0,1000.0,5.0,5.0,0.3,50.0,1e-06,0.0,kos,0.354
4000.0,4000.0,5.0,5.0,0.3,50.0,1e-06,0.0,kos,0.3055
63.0,63.0,6.0,6.0,0.3,50.0,1e-06,0.0,kos,0.23809523809523808
250.0,250.0,6.0,6.0,0.3,50.0,1e-06,0.0,kos,0.34
1000.0,1000.0,6.0,6.0,0.3,50.0,1e-06,0.0,kos,0.309
4000.0,4000.0,6.0,6.0,0.3,50.0,1e-06,0.0,kos,0.2635
63.0,63.0,7.0,7.0,0.3,50.0,1e-06,0.0,kos,0.15873015873015872
250.0,250.0,7.0,7.0,0.3,50.0,1e-06,0.0,kos,0.216
1000.0,1000.0,7.0,7.0,0.3,50.0,1e-06,0.0,kos,0.238
4000.0,4000.0,7.0,7.0,0.3,50.0,1e-06,0.0,kos,0.2025
63.0,63.0,9.0,9.0,0.3,50.0,1e-06,0.0,kos,0.15873015873015872
250.0,250.0,9.0,9.0,0.3,50.0,1e-06,0.0,kos,0.192
1000.0,1000.0,9.0,9.0,0.3,50.0,1e-06,0.0,kos,0.18
4000.0,4000.0,9.0,9.0,0.3,50.0,1e-06,0.0,kos,0.1285
63.0,63.0,11.0,11.0,0.3,50.0,1e-06,0.0,kos,0.031746031746031744
250.0,250.0,11.0,11.0,0.3,50.0,1e-06,0.0,kos,0.092
1000.0,1000.0,11.0,11.0,0.3,50.0,1e-06,0.0,kos,0.095
4000.0,4000.0,11.0,11.0,0.3,50.0,1e-06,0.0,kos,0.079
63.0,63.0,13.0,13.0,0.3,50.0,1e-06,0.0,kos,0.047619047619047616
250.0,250.0,13.0,13.0,0.3,50.0,1e-06,0.0,kos,0.092
1000.0,1000.0,13.0,13.0,0.3,50.0,1e-06,0.0,kos,0.087
4000.0,4000.0,13.0,13.0,0.3,50.0,1e-06,0.0,kos,0.05225
63.0,63.0,15.0,15.0,0.3,50.0,1e-06,0.0,kos,0.015873015873015872
250.0,250.0,15.0,15.0,0.3,50.0,1e-06,0.0,kos,0.048
1000.0,1000.0,15.0,15.0,0.3,50.0,1e-06,0.0,kos,0.046
4000.0,4000.0,15.0,15.0,0.3,50.0,1e-06,0.0,kos,0.03025
63.0,63.0,1.0,1.0,0.3,50.0,1e-06,1.0,kos,1.0
250.0,250.0,1.0,1.0,0.3,50.0,1e-06,1.0,kos,1.0
1000.0,1000.0,1.0,1.0,0.3,50.0,1e-06,1.0,kos,1.0
4000.0,4000.0,1.0,1.0,0.3,50.0,1e-06,1.0,kos,1.0
63.0,63.0,3.0,3.0,0.3,50.0,1e-06,1.0,kos,0.4126984126984127
250.0,250.0,3.0,3.0,0.3,50.0,1e-06,1.0,kos,0.424
