m,n,l,r,q,easiness_alpha,easiness_beta,iternum,method,error
1000.0,1000.0,25.0,25.0,0.001,50.0,1e-06,0.0,kos,0.483
1000.0,1000.0,25.0,25.0,0.03727272727272728,50.0,1e-06,0.0,kos,0.438
1000.0,1000.0,25.0,25.0,0.07354545454545455,50.0,1e-06,0.0,kos,0.355
1000.0,1000.0,25.0,25.0,0.10981818181818183,50.0,1e-06,0.0,kos,0.269
1000.0,1000.0,25.0,25.0,0.1460909090909091,50.0,1e-06,0.0,kos,0.148
1000.0,1000.0,25.0,25.0,0.1823636363636364,50.0,1e-06,0.0,kos,0.082
1000.0,1000.0,25.0,25.0,0.21863636363636366,50.0,1e-06,0.0,kos,0.034
1000.0,1000.0,25.0,25.0,0.2549090909090909,50.0,1e-06,0.0,kos,0.009
1000.0,1000.0,25.0,25.0,0.2911818181818182,50.0,1e-06,0.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3274545454545455,50.0,1e-06,0.0,kos,0.001
1000.0,1000.0,25.0,25.0,0.3637272727272728,50.0,1e-06,0.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.4,50.0,1e-06,0.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.001,50.0,1e-06,1.0,kos,0.483
1000.0,1000.0,25.0,25.0,0.03727272727272728,50.0,1e-06,1.0,kos,0.438
1000.0,1000.0,25.0,25.0,0.07354545454545455,50.0,1e-06,1.0,kos,0.355
1000.0,1000.0,25.0,25.0,0.10981818181818183,50.0,1e-06,1.0,kos,0.269
1000.0,1000.0,25.0,25.0,0.1460909090909091,50.0,1e-06,1.0,kos,0.148
1000.0,1000.0,25.0,25.0,0.1823636363636364,50.0,1e-06,1.0,kos,0.082
1000.0,1000.0,25.0,25.0,0.21863636363636366,50.0,1e-06,1.0,kos,0.034
1000.0,1000.0,25.0,25.0,0.2549090909090909,50.0,1e-06,1.0,kos,0.009
1000.0,1000.0,25.0,25.0,0.2911818181818182,50.0,1e-06,1.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3274545454545455,50.0,1e-06,1.0,kos,0.001
1000.0,1000.0,25.0,25.0,0.3637272727272728,50.0,1e-06,1.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.4,50.0,1e-06,1.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.001,50.0,1e-06,2.0,kos,0.483
1000.0,1000.0,25.0,25.0,0.03727272727272728,50.0,1e-06,2.0,kos,0.438
1000.0,1000.0,25.0,25.0,0.07354545454545455,50.0,1e-06,2.0,kos,0.355
1000.0,1000.0,25.0,25.0,0.10981818181818183,50.0,1e-06,2.0,kos,0.269
1000.0,1000.0,25.0,25.0,0.1460909090909091,50.0,1e-06,2.0,kos,0.148
1000.0,1000.0,25.0,25.0,0.1823636363636364,50.0,1e-06,2.0,kos,0.082
1000.0,1000.0,25.0,25.0,0.21863636363636366,50.0,1e-06,2.0,kos,0.034
1000.0,1000.0,25.0,25.0,0.2549090909090909,50.0,1e-06,2.0,kos,0.009
1000.0,1000.0,25.0,25.0,0.2911818181818182,50.0,1e-06,2.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3274545454545455,50.0,1e-06,2.0,kos,0.001
1000.0,1000.0,25.0,25.0,0.3637272727272728,50.0,1e-06,2.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.4,50.0,1e-06,2.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.001,50.0,1e-06,3.0,kos,0.483
1000.0,1000.0,25.0,25.0,0.03727272727272728,50.0,1e-06,3.0,kos,0.438
1000.0,1000.0,25.0,25.0,0.07354545454545455,50.0,1e-06,3.0,kos,0.355
1000.0,1000.0,25.0,25.0,0.10981818181818183,50.0,1e-06,3.0,kos,0.269
1000.0,1000.0,25.0,25.0,0.1460909090909091,50.0,1e-06,3.0,kos,0.148
1000.0,1000.0,25.0,25.0,0.1823636363636364,50.0,1e-06,3.0,kos,0.082
1000.0,1000.0,25.0,25.0,0.21863636363636366,50.0,1e-06,3.0,kos,0.034
1000.0,1000.0,25.0,25.0,0.2549090909090909,50.0,1e-06,3.0,kos,0.009
1000.0,1000.0,25.0,25.0,0.2911818181818182,50.0,1e-06,3.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3274545454545455,50.0,1e-06,3.0,kos,0.001
1000.0,1000.0,25.0,25.0,0.3637272727272728,50.0,1e-06,3.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.4,50.0,1e-06,3.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.001,50.0,1e-06,4.0,kos,0.483
1000.0,1000.0,25.0,25.0,0.03727272727272728,50.0,1e-06,4.0,kos,0.438
1000.0,1000.0,25.0,25.0,0.07354545454545455,50.0,1e-06,4.0,kos,0.355
1000.0,1000.0,25.0,25.0,0.10981818181818183,50.0,1e-06,4.0,kos,0.269
1000.0,1000.0,25.0,25.0,0.1460909090909091,50.0,1e-06,4.0,kos,0.148
1000.0,1000.0,25.0,25.0,0.1823636363636364,50.0,1e-06,4.0,kos,0.082
1000.0,1000.0,25.0,25.0,0.21863636363636366,50.0,1e-06,4.0,kos,0.034
1000.0,1000.0,25.0,25.0,0.2549090909090909,50.0,1e-06,4.0,kos,0.009
1000.0,1000.0,25.0,25.0,0.2911818181818182,50.0,1e-06,4.0,kos,0.002
